Ship Mode,Ship Date,Order Date,Customer ID,Product ID
Standard Class,2020-04-03,2020-03-30,BP-11155,OFF-BI-10001525
Standard Class,2020-06-13,2020-06-08,BW-11200,OFF-BI-10000309
Standard Class,2020-06-08,2020-06-04,ML-18040,OFF-BI-10002557
Standard Class,2020-06-05,2020-06-01,CV-12805,OFF-BI-10003676
Standard Class,2020-06-17,2020-06-11,ZC-21910,OFF-BI-10001525
Standard Class,2020-06-28,2020-06-22,PL-18925,OFF-BI-10003982
Standard Class,2020-06-25,2020-06-21,EH-14125,OFF-BI-10002852
Standard Class,2020-06-21,2020-06-16,MK-17905,OFF-BI-10000756
Standard Class,2020-06-04,2020-05-29,ML-17410,OFF-BI-10000632
Standard Class,2020-05-18,2020-05-14,DP-13000,OFF-BI-10003007
Standard Class,2020-05-23,2020-05-18,SG-20890,OFF-BI-10003712
Standard Class,2020-05-23,2020-05-18,SG-20890,OFF-BI-10002571
Standard Class,2020-06-03,2020-05-27,BW-11110,OFF-BI-10004209
Standard Class,2020-05-27,2020-05-23,KL-16645,OFF-BI-10001922
Standard Class,2020-05-23,2020-05-19,ND-18460,OFF-BI-10001787
Standard Class,2020-11-30,2020-11-24,FM-14290,OFF-BI-10000546
Standard Class,2020-12-09,2020-12-02,GW-14605,OFF-BI-10003650
Standard Class,2020-12-06,2020-12-02,DB-12910,OFF-BI-10002429
Standard Class,2020-12-06,2020-12-02,BS-11380,OFF-BI-10003707
Standard Class,2020-12-05,2020-12-01,SC-20305,OFF-BI-10001759
Standard Class,2020-12-07,2020-12-01,JH-15985,OFF-BI-10003274
Standard Class,2020-12-05,2020-12-01,DV-13465,OFF-BI-10002764
Standard Class,2020-11-18,2020-11-13,TT-21070,OFF-BI-10001718
Standard Class,2020-11-18,2020-11-12,LS-16975,OFF-BI-10000666
Standard Class,2020-11-17,2020-11-10,MC-17845,OFF-BI-10001543
Standard Class,2020-11-25,2020-11-19,JH-15430,OFF-BI-10003984
Standard Class,2020-11-25,2020-11-21,CK-12205,OFF-BI-10001670
Standard Class,2020-11-21,2020-11-17,KH-16330,OFF-BI-10002813
Standard Class,2020-12-26,2020-12-20,DK-13225,OFF-BI-10003291
Standard Class,2020-12-26,2020-12-22,AG-10330,OFF-BI-10003429
Standard Class,2020-12-23,2020-12-16,RD-19810,OFF-BI-10001628
Standard Class,2020-12-20,2020-12-16,AR-10510,OFF-BI-10004656
Standard Class,2020-12-29,2020-12-25,GD-14590,OFF-BI-10003314
Standard Class,2021-01-01,2020-12-28,LO-17170,OFF-BI-10003784
Standard Class,2021-01-02,2020-12-28,CS-12400,OFF-BI-10004040
Standard Class,2020-12-30,2020-12-25,SV-20935,OFF-BI-10000632
Standard Class,2020-12-28,2020-12-24,NC-18535,OFF-BI-10000201
Standard Class,2020-12-13,2020-12-07,HG-14965,OFF-BI-10001120
Standard Class,2020-12-10,2020-12-03,MC-17575,OFF-BI-10004233
Standard Class,2020-12-09,2020-12-05,AB-10165,OFF-BI-10000145
Standard Class,2020-12-17,2020-12-11,RB-19435,OFF-BI-10004209
Standard Class,2020-12-15,2020-12-09,RD-19720,OFF-BI-10001116
Standard Class,2020-12-15,2020-12-09,HF-14995,OFF-BI-10004182
Standard Class,2020-12-15,2020-12-09,LW-17215,OFF-BI-10000088
Standard Class,2020-09-27,2020-09-22,SH-19975,OFF-BI-10000773
Standard Class,2020-09-26,2020-09-22,JE-15610,OFF-BI-10002976
Standard Class,2020-10-08,2020-10-02,JK-16090,OFF-BI-10003676
Standard Class,2020-10-06,2020-10-02,RF-19735,OFF-BI-10000546
Standard Class,2020-10-05,2020-09-28,SF-20965,OFF-BI-10004094
Standard Class,2020-10-08,2020-10-01,EB-13840,OFF-BI-10001107
Standard Class,2020-10-06,2020-09-30,SC-20050,OFF-BI-10000301
Standard Class,2020-09-26,2020-09-21,RH-19495,OFF-BI-10000546
Standard Class,2020-09-27,2020-09-21,DL-12865,OFF-BI-10002794
Standard Class,2020-09-22,2020-09-18,TS-21505,OFF-BI-10002012
Standard Class,2020-11-07,2020-11-03,JO-15145,OFF-BI-10002393
Standard Class,2020-11-12,2020-11-06,RB-19705,OFF-BI-10004738
Standard Class,2020-10-18,2020-10-14,AG-10765,OFF-BI-10004224
Standard Class,2020-10-19,2020-10-14,EL-13735,OFF-BI-10001078
Standard Class,2020-10-18,2020-10-14,AG-10765,OFF-BI-10000309
Standard Class,2020-10-21,2020-10-16,BO-11425,OFF-BI-10003719
Standard Class,2020-10-11,2020-10-07,Dp-13240,OFF-BI-10002854
Standard Class,2020-10-11,2020-10-07,JK-15730,OFF-BI-10000756
Standard Class,2020-10-30,2020-10-26,SC-20440,OFF-BI-10003007
Standard Class,2020-10-26,2020-10-19,TH-21550,OFF-BI-10004995
Standard Class,2020-10-27,2020-10-20,IG-15085,OFF-BI-10003364
Standard Class,2020-10-27,2020-10-21,JB-15400,OFF-BI-10000301
Standard Class,2020-10-27,2020-10-21,JB-15400,OFF-BI-10003460
Standard Class,2020-10-25,2020-10-21,FC-14245,OFF-BI-10002799
Standard Class,2020-10-28,2020-10-21,ND-18370,OFF-BI-10003984
Standard Class,2019-07-13,2019-07-07,CC-12100,OFF-BI-10001308
Standard Class,2019-07-13,2019-07-07,CC-12100,OFF-BI-10001525
Standard Class,2019-07-12,2019-07-08,JE-15715,OFF-BI-10001634
Standard Class,2019-07-19,2019-07-14,AR-10570,OFF-BI-10003963
Standard Class,2019-07-28,2019-07-23,CK-12205,OFF-BI-10004364
Standard Class,2019-07-27,2019-07-23,NF-18475,OFF-BI-10000948
Standard Class,2019-07-25,2019-07-19,JS-16030,OFF-BI-10000404
Standard Class,2019-06-15,2019-06-11,SE-20110,OFF-BI-10004728
Standard Class,2019-06-17,2019-06-11,MZ-17515,OFF-BI-10001617
Standard Class,2019-06-17,2019-06-11,MZ-17515,OFF-BI-10003784
Standard Class,2019-06-25,2019-06-21,KB-16600,OFF-BI-10003727
Standard Class,2019-06-29,2019-06-25,TS-21160,OFF-BI-10004781
Standard Class,2019-06-24,2019-06-20,CG-12040,OFF-BI-10004826
Standard Class,2019-09-06,2019-09-02,JE-15715,OFF-BI-10003166
Standard Class,2019-09-06,2019-09-02,JE-15715,OFF-BI-10000014
Standard Class,2019-09-05,2019-09-01,JA-15970,OFF-BI-10001116
Standard Class,2019-09-05,2019-09-01,JA-15970,OFF-BI-10000320
Standard Class,2019-09-05,2019-09-01,JA-15970,OFF-BI-10004728
Standard Class,2019-09-08,2019-09-04,AA-10645,OFF-BI-10000315
Standard Class,2019-09-09,2019-09-05,JC-15340,OFF-BI-10004410
Standard Class,2019-09-11,2019-09-05,MD-17350,OFF-BI-10001757
Standard Class,2019-08-14,2019-08-09,GH-14410,OFF-BI-10004465
Standard Class,2019-08-16,2019-08-11,MT-18070,OFF-BI-10003305
Standard Class,2019-08-21,2019-08-17,NM-18520,OFF-BI-10003712
Standard Class,2019-08-27,2019-08-22,SG-20470,OFF-BI-10000088
Standard Class,2019-06-06,2019-06-02,EH-13765,OFF-BI-10001078
Standard Class,2019-03-18,2019-03-13,AB-10060,OFF-BI-10004965
Standard Class,2019-03-12,2019-03-06,LC-16870,OFF-BI-10004656
Standard Class,2019-03-10,2019-03-06,JB-16045,OFF-BI-10002982
Standard Class,2019-03-12,2019-03-08,SJ-20125,OFF-BI-10001757
Standard Class,2019-04-07,2019-04-03,CS-11950,OFF-BI-10004330
Standard Class,2019-03-19,2019-03-15,MY-18295,OFF-BI-10004233
Standard Class,2019-02-06,2019-01-31,BF-11170,OFF-BI-10003527
Standard Class,2019-01-12,2019-01-08,JO-15145,OFF-BI-10001460
Standard Class,2019-01-08,2019-01-04,BP-11185,OFF-BI-10002026
Standard Class,2019-01-13,2019-01-08,VS-21820,OFF-BI-10004236
Standard Class,2019-02-23,2019-02-16,GW-14605,OFF-BI-10002412
Standard Class,2019-03-08,2019-03-03,BH-11710,OFF-BI-10001071
Standard Class,2019-05-21,2019-05-17,RP-19855,OFF-BI-10000069
Standard Class,2019-05-20,2019-05-15,SN-20710,OFF-BI-10001718
Standard Class,2019-05-19,2019-05-14,MK-17905,OFF-BI-10002309
Standard Class,2019-05-13,2019-05-09,CV-12805,OFF-BI-10002353
Standard Class,2019-05-13,2019-05-09,CV-12805,OFF-BI-10002852
Standard Class,2019-05-27,2019-05-23,CC-12370,OFF-BI-10004308
Standard Class,2019-04-20,2019-04-16,BS-11365,OFF-BI-10002432
Standard Class,2019-04-14,2019-04-08,EH-14125,OFF-BI-10004224
Standard Class,2019-04-12,2019-04-08,ZC-21910,OFF-BI-10004995
Standard Class,2019-04-13,2019-04-09,EB-13750,OFF-BI-10003712
Standard Class,2019-05-08,2019-05-03,CB-12415,OFF-BI-10000014
Standard Class,2019-04-29,2019-04-22,TN-21040,OFF-BI-10000315
Standard Class,2019-04-26,2019-04-21,SP-20545,OFF-BI-10002854
Standard Class,2019-12-21,2019-12-17,AB-10105,OFF-BI-10000545
Standard Class,2019-12-23,2019-12-17,NS-18640,OFF-BI-10000948
Standard Class,2019-12-28,2019-12-22,SA-20830,OFF-BI-10003694
Standard Class,2019-12-24,2019-12-19,BP-11050,OFF-BI-10002012
Standard Class,2019-12-25,2019-12-19,ES-14080,OFF-BI-10000174
Standard Class,2019-12-06,2019-12-02,PW-19030,OFF-BI-10001107
Standard Class,2019-12-08,2019-12-03,CJ-12010,OFF-BI-10001072
Standard Class,2019-12-03,2019-11-28,AJ-10780,OFF-BI-10002976
Standard Class,2020-01-03,2019-12-29,MP-17965,OFF-BI-10004781
Standard Class,2019-12-12,2019-12-08,JP-16135,OFF-BI-10001267
Standard Class,2019-12-16,2019-12-10,CM-12235,OFF-BI-10003656
Standard Class,2019-12-09,2019-12-05,JE-16165,OFF-BI-10002735
Standard Class,2019-12-12,2019-12-06,GT-14710,OFF-BI-10001636
Standard Class,2019-12-12,2019-12-06,DP-13105,OFF-BI-10001721
Standard Class,2019-12-12,2019-12-06,DP-13105,OFF-BI-10004318
Standard Class,2020-02-28,2020-02-24,CB-12415,OFF-BI-10004970
Standard Class,2020-03-06,2020-03-02,JA-15970,OFF-BI-10002353
Standard Class,2020-03-08,2020-03-02,SC-20770,OFF-BI-10003291
Standard Class,2020-02-14,2020-02-09,TP-21415,OFF-BI-10004584
Standard Class,2020-03-17,2020-03-12,GA-14725,OFF-BI-10000829
Standard Class,2020-03-16,2020-03-11,MH-17290,OFF-BI-10002794
Standard Class,2020-03-17,2020-03-11,MJ-17740,OFF-BI-10003091
Standard Class,2020-03-15,2020-03-10,KS-16300,OFF-BI-10000014
Standard Class,2020-01-16,2020-01-12,DB-13120,OFF-BI-10000545
Standard Class,2020-01-06,2019-12-31,KL-16555,OFF-BI-10003984
Standard Class,2020-01-13,2020-01-06,DP-13390,OFF-BI-10004728
Standard Class,2020-01-05,2020-01-01,JM-15250,OFF-BI-10000343
Standard Class,2020-01-05,2020-01-01,JM-15250,OFF-BI-10000301
Standard Class,2020-02-02,2020-01-29,CK-12595,OFF-BI-10001072
Standard Class,2020-02-05,2020-01-30,BV-11245,OFF-BI-10003910
Standard Class,2020-02-05,2020-01-30,BV-11245,OFF-BI-10000301
Standard Class,2020-01-25,2020-01-21,DS-13030,OFF-BI-10000138
Standard Class,2020-01-25,2020-01-21,DS-13030,OFF-BI-10003291
Standard Class,2020-01-27,2020-01-21,MH-18115,OFF-BI-10000546
Standard Class,2020-01-25,2020-01-21,DS-13030,OFF-BI-10003982
Standard Class,2020-01-27,2020-01-21,MH-18115,OFF-BI-10001196
Standard Class,2020-01-26,2020-01-21,PS-19045,OFF-BI-10004001
Standard Class,2020-01-28,2020-01-23,CS-12250,OFF-BI-10001757
Standard Class,2019-10-08,2019-10-04,DR-12940,OFF-BI-10000977
Standard Class,2019-10-09,2019-10-02,TC-20980,OFF-BI-10003712
Standard Class,2019-10-19,2019-10-13,HA-14920,OFF-BI-10004140
Standard Class,2019-10-26,2019-10-21,AP-10720,OFF-BI-10004817
Standard Class,2019-10-26,2019-10-21,MY-18295,OFF-BI-10002813
Standard Class,2019-10-21,2019-10-15,PB-18805,OFF-BI-10001628
Standard Class,2019-10-21,2019-10-15,CD-12790,OFF-BI-10000977
Standard Class,2019-10-20,2019-10-15,QJ-19255,OFF-BI-10002082
Standard Class,2019-09-20,2019-09-15,JD-16150,OFF-BI-10001249
Standard Class,2019-09-20,2019-09-15,RB-19570,OFF-BI-10002103
Standard Class,2019-09-16,2019-09-12,SF-20200,OFF-BI-10000301
Standard Class,2019-09-29,2019-09-25,KE-16420,OFF-BI-10004828
Standard Class,2019-09-30,2019-09-24,BP-11230,OFF-BI-10001249
Standard Class,2019-09-24,2019-09-20,EN-13780,OFF-BI-10004828
Standard Class,2019-09-26,2019-09-22,AC-10450,OFF-BI-10004022
Standard Class,2019-09-27,2019-09-23,DP-13105,OFF-BI-10004970
Standard Class,2019-11-24,2019-11-19,EH-13945,OFF-BI-10003676
Standard Class,2019-11-29,2019-11-25,BB-11545,OFF-BI-10004002
Standard Class,2019-11-25,2019-11-20,BF-10975,OFF-BI-10000343
Standard Class,2019-11-27,2019-11-22,JE-15475,OFF-BI-10003196
Standard Class,2019-11-27,2019-11-22,JE-15475,OFF-BI-10004040
Standard Class,2019-11-19,2019-11-12,MS-17710,OFF-BI-10004967
Standard Class,2019-11-19,2019-11-12,MS-17710,OFF-BI-10003727
Standard Class,2019-11-10,2019-11-05,MA-17995,OFF-BI-10001989
Standard Class,2019-11-02,2019-10-28,EP-13915,OFF-BI-10001191
Standard Class,2019-11-04,2019-10-28,SM-20950,OFF-BI-10004236
Standard Class,2019-11-03,2019-10-28,JD-15895,OFF-BI-10002706
Standard Class,2019-11-10,2019-11-03,CL-12565,OFF-BI-10003981
Standard Class,2019-11-14,2019-11-10,PP-18955,OFF-BI-10002082
Standard Class,2020-07-24,2020-07-20,SM-20950,OFF-BI-10004600
Standard Class,2020-07-26,2020-07-21,PT-19090,OFF-BI-10001116
Standard Class,2020-07-15,2020-07-08,JC-15385,OFF-BI-10001107
Standard Class,2020-07-13,2020-07-06,FH-14365,OFF-BI-10000343
Standard Class,2020-07-15,2020-07-09,TD-20995,OFF-BI-10002012
Standard Class,2020-07-04,2020-06-29,AA-10315,OFF-BI-10004654
Standard Class,2020-08-03,2020-07-29,RF-19735,OFF-BI-10004828
Standard Class,2020-08-23,2020-08-19,SC-20575,OFF-BI-10002393
Standard Class,2020-04-23,2020-04-17,SR-20425,OFF-BI-10001543
Standard Class,2020-05-10,2020-05-04,MY-18295,OFF-BI-10002897
Standard Class,2020-04-12,2020-04-07,CS-12400,OFF-BI-10001679
Standard Class,2020-06-14,2020-06-08,LW-17125,OFF-BI-10004040
Standard Class,2020-06-13,2020-06-08,FO-14305,OFF-BI-10000778
Standard Class,2020-06-25,2020-06-21,EH-14125,OFF-BI-10000145
Standard Class,2020-05-29,2020-05-25,MH-18115,OFF-BI-10002824
Standard Class,2020-06-02,2020-05-27,DW-13480,OFF-BI-10003364
Standard Class,2020-05-26,2020-05-22,LE-16810,OFF-BI-10003274
Standard Class,2020-05-26,2020-05-20,RD-19480,OFF-BI-10004040
Standard Class,2020-11-23,2020-11-19,AB-10105,OFF-BI-10000088
Standard Class,2020-12-30,2020-12-26,TC-21535,OFF-BI-10000494
Standard Class,2020-12-17,2020-12-11,RB-19435,OFF-BI-10004600
Standard Class,2020-12-13,2020-12-09,DK-12835,OFF-BI-10003982
Standard Class,2020-09-29,2020-09-25,CT-11995,OFF-BI-10002976
Standard Class,2020-09-25,2020-09-21,EB-13870,OFF-BI-10004141
Standard Class,2020-11-07,2020-11-03,DK-13090,OFF-BI-10002982
Standard Class,2020-11-06,2020-10-30,MM-18055,OFF-BI-10002072
Standard Class,2020-11-12,2020-11-06,CC-12370,OFF-BI-10000145
Standard Class,2020-11-08,2020-11-04,CA-12265,OFF-BI-10004364
Standard Class,2020-11-12,2020-11-05,TS-21610,OFF-BI-10003274
Standard Class,2020-10-24,2020-10-19,CA-12265,OFF-BI-10002799
Standard Class,2019-07-12,2019-07-08,JE-15715,OFF-BI-10002082
Standard Class,2019-07-25,2019-07-19,JS-16030,OFF-BI-10003007
Standard Class,2019-06-22,2019-06-17,CP-12340,OFF-BI-10002003
Standard Class,2019-09-03,2019-08-29,GB-14530,OFF-BI-10002071
Standard Class,2019-09-11,2019-09-06,KB-16315,OFF-BI-10001031
Standard Class,2019-09-11,2019-09-05,MD-17350,OFF-BI-10002824
Standard Class,2019-08-16,2019-08-11,MT-18070,OFF-BI-10003007
Standard Class,2019-08-26,2019-08-22,DD-13570,OFF-BI-10003676
Standard Class,2019-08-28,2019-08-22,CR-12730,OFF-BI-10002827
Standard Class,2019-03-18,2019-03-13,LT-17110,OFF-BI-10004141
Standard Class,2019-03-31,2019-03-27,DS-13180,OFF-BI-10000962
Standard Class,2019-03-28,2019-03-21,KT-16465,OFF-BI-10004465
Standard Class,2019-01-08,2019-01-03,BO-11350,OFF-BI-10004364
Standard Class,2019-02-25,2019-02-21,LC-16960,OFF-BI-10002026
Standard Class,2019-05-21,2019-05-17,RP-19855,OFF-BI-10001757
Standard Class,2019-05-26,2019-05-21,AS-10285,OFF-BI-10000343
Standard Class,2019-05-24,2019-05-20,DB-13210,OFF-BI-10004140
Standard Class,2019-05-19,2019-05-14,MK-17905,OFF-BI-10004002
Standard Class,2019-06-04,2019-05-30,MY-17380,OFF-BI-10001658
Standard Class,2019-06-04,2019-05-30,MY-17380,OFF-BI-10001670
Standard Class,2019-06-01,2019-05-26,TB-21280,OFF-BI-10004728
Standard Class,2019-05-10,2019-05-06,AF-10870,OFF-BI-10000773
Standard Class,2019-04-21,2019-04-15,RB-19795,OFF-BI-10004584
Standard Class,2019-04-28,2019-04-24,CL-12700,OFF-BI-10004040
Standard Class,2019-12-23,2019-12-17,NS-18640,OFF-BI-10001636
Standard Class,2019-12-24,2019-12-18,GK-14620,OFF-BI-10001359
Standard Class,2019-12-24,2019-12-20,AB-10255,OFF-BI-10003910
Standard Class,2019-12-25,2019-12-19,ES-14080,OFF-BI-10002103
Standard Class,2019-12-02,2019-11-28,SK-19990,OFF-BI-10001890
Standard Class,2019-12-04,2019-11-28,DS-13180,OFF-BI-10003166
Standard Class,2020-03-06,2020-02-28,DB-13660,OFF-BI-10001757
Standard Class,2020-02-08,2020-02-03,SC-20380,OFF-BI-10000301
Standard Class,2020-02-05,2020-01-30,BV-11245,OFF-BI-10001036
Standard Class,2020-01-27,2020-01-23,HP-14815,OFF-BI-10004506
Standard Class,2019-10-09,2019-10-02,TC-20980,OFF-BI-10004600
Standard Class,2019-10-01,2019-09-26,SC-20380,OFF-BI-10002026
Standard Class,2019-09-18,2019-09-14,CL-12565,OFF-BI-10004390
Standard Class,2019-11-24,2019-11-19,EH-13945,OFF-BI-10002609
Standard Class,2019-11-17,2019-11-13,LB-16795,OFF-BI-10000285
Standard Class,2019-11-18,2019-11-14,KC-16540,OFF-BI-10002393
Standard Class,2019-12-02,2019-11-26,TC-20980,OFF-BI-10002954
Standard Class,2019-12-02,2019-11-25,CS-12505,OFF-BI-10000545
Standard Class,2019-11-14,2019-11-10,KM-16225,OFF-BI-10001597
Standard Class,2019-11-15,2019-11-11,LB-16795,OFF-BI-10002852
Standard Class,2019-11-11,2019-11-07,MJ-17740,OFF-BI-10004002
